NUTS_NAME,Percentage,
Orta Anadolu,51.9,
"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir",51.8,
"Kayseri, Sivas, Yozgat",52,
Batı Karadeniz,49.2,
"Zonguldak, Karabük, Bartın",47.9,
"Kastamonu, Çankırı, Sinop",45.1,
"Samsun, Tokat, Çorum, Amasya",50.5,
Doğu Karadeniz,45.4,
"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane",45.4,
Kuzeydoğu Anadolu,57.8,
"Erzurum, Erzincan, Bayburt",56.5,
"Ağrı, Kars, Iğdır, Ardahan",59.3,
Ortadoğu Anadolu,58.7,
"Malatya, Elazığ, Bingöl, Tunceli",63.5,
"Van, Muş, Bitlis, Hakkari",53.9,
Güneydoğu Anadolu,65.5,
"Gaziantep, Adıyaman, Kilis",61.6,
"Şanlıurfa, Diyarbakır",67.1,
"Mardin, Batman, Şırnak, Siirt",67.7,
Extra-Regio level 1,:,m
Extra-Regio level 2,:,m
Special value,,
:,not available,
Observation flags:,,
d,definition differs (see metadata),
m,missing value; data cannot exist,
